,y_train
239,alt.atheism
240,alt.atheism
241,alt.atheism
242,alt.atheism
243,alt.atheism
244,alt.atheism
245,alt.atheism
246,alt.atheism
247,alt.atheism
248,alt.atheism
249,alt.atheism
250,alt.atheism
251,alt.atheism
252,alt.atheism
253,alt.atheism
254,alt.atheism
255,alt.atheism
256,alt.atheism
257,alt.atheism
258,alt.atheism
259,alt.atheism
260,alt.atheism
261,alt.atheism
262,alt.atheism
263,alt.atheism
264,alt.atheism
265,alt.atheism
266,alt.atheism
267,alt.atheism
268,alt.atheism
269,alt.atheism
270,alt.atheism
271,alt.atheism
272,alt.atheism
273,alt.atheism
274,alt.atheism
275,alt.atheism
276,alt.atheism
277,alt.atheism
278,alt.atheism
279,alt.atheism
280,alt.atheism
281,alt.atheism
282,alt.atheism
283,alt.atheism
284,alt.atheism
285,alt.atheism
286,alt.atheism
287,alt.atheism
288,alt.atheism
289,alt.atheism
290,alt.atheism
291,alt.atheism
292,alt.atheism
293,alt.atheism
294,alt.atheism
295,alt.atheism
296,alt.atheism
297,alt.atheism
298,alt.atheism
299,alt.atheism
300,alt.atheism
301,alt.atheism
302,alt.atheism
303,alt.atheism
304,alt.atheism
305,alt.atheism
306,alt.atheism
307,alt.atheism
308,alt.atheism
309,alt.atheism
310,alt.atheism
311,alt.atheism
312,alt.atheism
313,alt.atheism
314,alt.atheism
315,alt.atheism
316,alt.atheism
317,alt.atheism
318,alt.atheism
319,alt.atheism
320,alt.atheism
321,alt.atheism
322,alt.atheism
323,alt.atheism
324,alt.atheism
325,alt.atheism
326,alt.atheism
327,alt.atheism
328,alt.atheism
329,alt.atheism
330,alt.atheism
331,alt.atheism
332,alt.atheism
333,alt.atheism
334,alt.atheism
335,alt.atheism
336,alt.atheism
337,alt.atheism
338,alt.atheism
339,alt.atheism
340,alt.atheism
341,alt.atheism
342,alt.atheism
343,alt.atheism
344,alt.atheism
345,alt.atheism
346,alt.atheism
347,alt.atheism
348,alt.atheism
349,alt.atheism
350,alt.atheism
351,alt.atheism
352,alt.atheism
353,alt.atheism
354,alt.atheism
355,alt.atheism
356,alt.atheism
357,alt.atheism
358,alt.atheism
359,alt.atheism
360,alt.atheism
361,alt.atheism
362,alt.atheism
363,alt.atheism
364,alt.atheism
365,alt.atheism
366,alt.atheism
367,alt.atheism
368,alt.atheism
369,alt.atheism
370,alt.atheism
371,alt.atheism
372,alt.atheism
373,alt.atheism
374,alt.atheism
375,alt.atheism
376,alt.atheism
377,alt.atheism
378,alt.atheism
379,alt.atheism
380,alt.atheism
381,alt.atheism
382,alt.atheism
383,alt.atheism
384,alt.atheism
385,alt.atheism
386,alt.atheism
387,alt.atheism
388,alt.atheism
389,alt.atheism
390,alt.atheism
391,alt.atheism
392,alt.atheism
393,alt.atheism
394,alt.atheism
395,alt.atheism
396,alt.atheism
397,alt.atheism
398,alt.atheism
399,alt.atheism
400,alt.atheism
401,alt.atheism
402,alt.atheism
403,alt.atheism
404,alt.atheism
405,alt.atheism
406,alt.atheism
407,alt.atheism
408,alt.atheism
409,alt.atheism
410,alt.atheism
411,alt.atheism
412,alt.atheism
413,alt.atheism
414,alt.atheism
415,alt.atheism
416,alt.atheism
417,alt.atheism
418,alt.atheism
419,alt.atheism
420,alt.atheism
421,alt.atheism
422,alt.atheism
423,alt.atheism
424,alt.atheism
425,alt.atheism
426,alt.atheism
427,alt.atheism
428,alt.atheism
429,alt.atheism
430,alt.atheism
431,alt.atheism
432,alt.atheism
433,alt.atheism
434,alt.atheism
435,alt.atheism
436,alt.atheism
437,alt.atheism
438,alt.atheism
439,alt.atheism
440,alt.atheism
441,alt.atheism
442,alt.atheism
443,alt.atheism
444,alt.atheism
445,alt.atheism
446,alt.atheism
447,alt.atheism
448,alt.atheism
449,alt.atheism
450,alt.atheism
451,alt.atheism
452,alt.atheism
453,alt.atheism
454,alt.atheism
455,alt.atheism
456,alt.atheism
457,alt.atheism
458,alt.atheism
459,alt.atheism
460,alt.atheism
461,alt.atheism
462,alt.atheism
463,alt.atheism
464,alt.atheism
465,alt.atheism
466,alt.atheism
467,alt.atheism
468,alt.atheism
469,alt.atheism
470,alt.atheism
471,alt.atheism
472,alt.atheism
473,alt.atheism
474,alt.atheism
475,alt.atheism
476,alt.atheism
477,alt.atheism
478,alt.atheism
479,alt.atheism
480,alt.atheism
481,alt.atheism
482,alt.atheism
483,alt.atheism
484,alt.atheism
485,alt.atheism
486,alt.atheism
487,alt.atheism
488,alt.atheism
489,alt.atheism
490,alt.atheism
491,alt.atheism
492,alt.atheism
493,alt.atheism
494,alt.atheism
495,alt.atheism
496,alt.atheism
497,alt.atheism
498,alt.atheism
499,alt.atheism
500,alt.atheism
501,alt.atheism
502,alt.atheism
503,alt.atheism
504,alt.atheism
505,alt.atheism
506,alt.atheism
507,alt.atheism
508,alt.atheism
509,alt.atheism
510,alt.atheism
511,alt.atheism
512,alt.atheism
513,alt.atheism
514,alt.atheism
515,alt.atheism
516,alt.atheism
517,alt.atheism
518,alt.atheism
519,alt.atheism
520,alt.atheism
521,alt.atheism
522,alt.atheism
523,alt.atheism
524,alt.atheism
525,alt.atheism
526,alt.atheism
527,alt.atheism
528,alt.atheism
529,alt.atheism
530,alt.atheism
531,alt.atheism
532,alt.atheism
533,alt.atheism
534,alt.atheism
535,alt.atheism
536,alt.atheism
537,alt.atheism
538,alt.atheism
539,alt.atheism
540,alt.atheism
541,alt.atheism
542,alt.atheism
543,alt.atheism
544,alt.atheism
545,alt.atheism
546,alt.atheism
547,alt.atheism
548,alt.atheism
549,alt.atheism
550,alt.atheism
551,alt.atheism
552,alt.atheism
553,alt.atheism
554,alt.atheism
555,alt.atheism
556,alt.atheism
557,alt.atheism
558,alt.atheism
559,alt.atheism
560,alt.atheism
561,alt.atheism
562,alt.atheism
563,alt.atheism
564,alt.atheism
565,alt.atheism
566,alt.atheism
567,alt.atheism
568,alt.atheism
569,alt.atheism
570,alt.atheism
571,alt.atheism
572,alt.atheism
573,alt.atheism
574,alt.atheism
575,alt.atheism
576,alt.atheism
577,alt.atheism
578,alt.atheism
579,alt.atheism
580,alt.atheism
581,alt.atheism
582,alt.atheism
583,alt.atheism
584,alt.atheism
585,alt.atheism
586,alt.atheism
587,alt.atheism
588,alt.atheism
589,alt.atheism
590,alt.atheism
591,alt.atheism
592,alt.atheism
593,alt.atheism
594,alt.atheism
595,alt.atheism
596,alt.atheism
597,alt.atheism
598,alt.atheism
599,alt.atheism
600,alt.atheism
601,alt.atheism
602,alt.atheism
603,alt.atheism
604,alt.atheism
605,alt.atheism
606,alt.atheism
607,alt.atheism
608,alt.atheism
609,alt.atheism
610,alt.atheism
611,alt.atheism
612,alt.atheism
613,alt.atheism
614,alt.atheism
615,alt.atheism
616,alt.atheism
617,alt.atheism
618,alt.atheism
619,alt.atheism
620,alt.atheism
621,alt.atheism
622,alt.atheism
623,alt.atheism
624,alt.atheism
625,alt.atheism
626,alt.atheism
627,alt.atheism
628,alt.atheism
629,alt.atheism
630,alt.atheism
631,alt.atheism
632,alt.atheism
633,alt.atheism
634,alt.atheism
635,alt.atheism
636,alt.atheism
637,alt.atheism
638,alt.atheism
639,alt.atheism
640,alt.atheism
641,alt.atheism
642,alt.atheism
643,alt.atheism
644,alt.atheism
645,alt.atheism
646,alt.atheism
647,alt.atheism
648,alt.atheism
649,alt.atheism
650,alt.atheism
651,alt.atheism
652,alt.atheism
653,alt.atheism
654,alt.atheism
655,alt.atheism
656,alt.atheism
657,alt.atheism
658,alt.atheism
659,alt.atheism
660,alt.atheism
661,alt.atheism
662,alt.atheism
663,alt.atheism
664,alt.atheism
665,alt.atheism
666,alt.atheism
667,alt.atheism
668,alt.atheism
669,alt.atheism
670,alt.atheism
671,alt.atheism
672,alt.atheism
673,alt.atheism
674,alt.atheism
675,alt.atheism
676,alt.atheism
677,alt.atheism
678,alt.atheism
679,alt.atheism
680,alt.atheism
681,alt.atheism
682,alt.atheism
683,alt.atheism
684,alt.atheism
685,alt.atheism
686,alt.atheism
687,alt.atheism
688,alt.atheism
689,alt.atheism
690,alt.atheism
691,alt.atheism
692,alt.atheism
693,alt.atheism
694,alt.atheism
695,alt.atheism
696,alt.atheism
697,alt.atheism
698,alt.atheism
699,alt.atheism
700,comp.graphics
701,comp.graphics
702,comp.graphics
703,comp.graphics
704,comp.graphics
705,comp.graphics
706,comp.graphics
707,comp.graphics
708,comp.graphics
709,comp.graphics
710,comp.graphics
711,comp.graphics
712,comp.graphics
713,comp.graphics
714,comp.graphics
715,comp.graphics
716,comp.graphics
717,comp.graphics
718,comp.graphics
719,comp.graphics
720,comp.graphics
721,comp.graphics
722,comp.graphics
723,comp.graphics
724,comp.graphics
725,comp.graphics
726,comp.graphics
727,comp.graphics
728,comp.graphics
729,comp.graphics
730,comp.graphics
731,comp.graphics
732,comp.graphics
733,comp.graphics
734,comp.graphics
735,comp.graphics
736,comp.graphics
737,comp.graphics
738,comp.graphics
739,comp.graphics
740,comp.graphics
741,comp.graphics
742,comp.graphics
743,comp.graphics
744,comp.graphics
745,comp.graphics
746,comp.graphics
747,comp.graphics
748,comp.graphics
749,comp.graphics
750,comp.graphics
751,comp.graphics
752,comp.graphics
753,comp.graphics
754,comp.graphics
755,comp.graphics
756,comp.graphics
757,comp.graphics
758,comp.graphics
759,comp.graphics
760,comp.graphics
761,comp.graphics
762,comp.graphics
763,comp.graphics
764,comp.graphics
765,comp.graphics
766,comp.graphics
767,comp.graphics
768,comp.graphics
769,comp.graphics
770,comp.graphics
771,comp.graphics
772,comp.graphics
773,comp.graphics
774,comp.graphics
775,comp.graphics
776,comp.graphics
777,comp.graphics
778,comp.graphics
779,comp.graphics
780,comp.graphics
781,comp.graphics
782,comp.graphics
783,comp.graphics
784,comp.graphics
785,comp.graphics
786,comp.graphics
787,comp.graphics
788,comp.graphics
789,comp.graphics
790,comp.graphics
791,comp.graphics
792,comp.graphics
793,comp.graphics
794,comp.graphics
795,comp.graphics
796,comp.graphics
797,comp.graphics
798,comp.graphics
799,comp.graphics
800,comp.graphics
801,comp.graphics
802,comp.graphics
803,comp.graphics
804,comp.graphics
805,comp.graphics
806,comp.graphics
807,comp.graphics
808,comp.graphics
809,comp.graphics
810,comp.graphics
811,comp.graphics
812,comp.graphics
813,comp.graphics
814,comp.graphics
815,comp.graphics
816,comp.graphics
817,comp.graphics
818,comp.graphics
819,comp.graphics
820,comp.graphics
821,comp.graphics
822,comp.graphics
823,comp.graphics
824,comp.graphics
825,comp.graphics
826,comp.graphics
827,comp.graphics
828,comp.graphics
829,comp.graphics
830,comp.graphics
831,comp.graphics
832,comp.graphics
833,comp.graphics
834,comp.graphics
835,comp.graphics
836,comp.graphics
837,comp.graphics
838,comp.graphics
839,comp.graphics
840,comp.graphics
841,comp.graphics
842,comp.graphics
843,comp.graphics
844,comp.graphics
845,comp.graphics
846,comp.graphics
847,comp.graphics
848,comp.graphics
849,comp.graphics
850,comp.graphics
851,comp.graphics
852,comp.graphics
853,comp.graphics
854,comp.graphics
855,comp.graphics
856,comp.graphics
857,comp.graphics
858,comp.graphics
859,comp.graphics
860,comp.graphics
861,comp.graphics
862,comp.graphics
863,comp.graphics
864,comp.graphics
865,comp.graphics
866,comp.graphics
867,comp.graphics
868,comp.graphics
869,comp.graphics
870,comp.graphics
871,comp.graphics
872,comp.graphics
873,comp.graphics
874,comp.graphics
875,comp.graphics
876,comp.graphics
877,comp.graphics
878,comp.graphics
879,comp.graphics
880,comp.graphics
881,comp.graphics
882,comp.graphics
883,comp.graphics
884,comp.graphics
885,comp.graphics
886,comp.graphics
887,comp.graphics
888,comp.graphics
889,comp.graphics
890,comp.graphics
891,comp.graphics
892,comp.graphics
893,comp.graphics
894,comp.graphics
895,comp.graphics
896,comp.graphics
897,comp.graphics
898,comp.graphics
899,comp.graphics
900,comp.graphics
901,comp.graphics
902,comp.graphics
903,comp.graphics
904,comp.graphics
905,comp.graphics
906,comp.graphics
907,comp.graphics
908,comp.graphics
909,comp.graphics
910,comp.graphics
911,comp.graphics
912,comp.graphics
913,comp.graphics
914,comp.graphics
915,comp.graphics
916,comp.graphics
917,comp.graphics
918,comp.graphics
919,comp.graphics
920,comp.graphics
921,comp.graphics
922,comp.graphics
923,comp.graphics
924,comp.graphics
925,comp.graphics
926,comp.graphics
927,comp.graphics
928,comp.graphics
929,comp.graphics
930,comp.graphics
931,comp.graphics
932,comp.graphics
933,comp.graphics
934,comp.graphics
935,comp.graphics
936,comp.graphics
937,comp.graphics
938,comp.graphics
939,comp.graphics
940,comp.graphics
941,comp.graphics
942,comp.graphics
943,comp.graphics
944,comp.graphics
945,comp.graphics
946,comp.graphics
947,comp.graphics
948,comp.graphics
949,comp.graphics
950,comp.graphics
951,comp.graphics
952,comp.graphics
953,comp.graphics
954,comp.graphics
955,comp.graphics
956,comp.graphics
957,comp.graphics
958,comp.graphics
959,comp.graphics
960,comp.graphics
961,comp.graphics
962,comp.graphics
963,comp.graphics
964,comp.graphics
965,comp.graphics
966,comp.graphics
967,comp.graphics
968,comp.graphics
969,comp.graphics
970,comp.graphics
971,comp.graphics
972,comp.graphics
973,comp.graphics
974,comp.graphics
975,comp.graphics
976,comp.graphics
977,comp.graphics
978,comp.graphics
979,comp.graphics
980,comp.graphics
981,comp.graphics
982,comp.graphics
983,comp.graphics
984,comp.graphics
985,comp.graphics
986,comp.graphics
987,comp.graphics
988,comp.graphics
989,comp.graphics
990,comp.graphics
991,comp.graphics
992,comp.graphics
993,comp.graphics
994,comp.graphics
995,comp.graphics
996,comp.graphics
997,comp.graphics
998,comp.graphics
999,comp.graphics
1000,comp.graphics
1001,comp.graphics
1002,comp.graphics
1003,comp.graphics
1004,comp.graphics
1005,comp.graphics
1006,comp.graphics
1007,comp.graphics
1008,comp.graphics
1009,comp.graphics
1010,comp.graphics
1011,comp.graphics
1012,comp.graphics
1013,comp.graphics
1014,comp.graphics
1015,comp.graphics
1016,comp.graphics
1017,comp.graphics
1018,comp.graphics
1019,comp.graphics
1020,comp.graphics
1021,comp.graphics
1022,comp.graphics
1023,comp.graphics
1024,comp.graphics
1025,comp.graphics
1026,comp.graphics
1027,comp.graphics
1028,comp.graphics
1029,comp.graphics
1030,comp.graphics
1031,comp.graphics
1032,comp.graphics
1033,comp.graphics
1034,comp.graphics
1035,comp.graphics
1036,comp.graphics
1037,comp.graphics
1038,comp.graphics
1039,comp.graphics
1040,comp.graphics
1041,comp.graphics
1042,comp.graphics
1043,comp.graphics
1044,comp.graphics
1045,comp.graphics
1046,comp.graphics
1047,comp.graphics
1048,comp.graphics
1049,comp.graphics
1050,comp.graphics
1051,comp.graphics
1052,comp.graphics
1053,comp.graphics
1054,comp.graphics
1055,comp.graphics
1056,comp.graphics
1057,comp.graphics
1058,comp.graphics
1059,comp.graphics
1060,comp.graphics
1061,comp.graphics
1062,comp.graphics
1063,comp.graphics
1064,comp.graphics
1065,comp.graphics
1066,comp.graphics
1067,comp.graphics
1068,comp.graphics
1069,comp.graphics
1070,comp.graphics
1071,comp.graphics
1072,comp.graphics
1073,comp.graphics
1074,comp.graphics
1075,comp.graphics
1076,comp.graphics
1077,comp.graphics
1078,comp.graphics
1079,comp.graphics
1080,comp.graphics
1081,comp.graphics
1082,comp.graphics
1083,comp.graphics
1084,comp.graphics
1085,comp.graphics
1086,comp.graphics
1087,comp.graphics
1088,comp.graphics
1089,comp.graphics
1090,comp.graphics
1091,comp.graphics
1092,comp.graphics
1093,comp.graphics
1094,comp.graphics
1095,comp.graphics
1096,comp.graphics
1097,comp.graphics
1098,comp.graphics
1099,comp.graphics
1100,comp.graphics
1101,comp.graphics
1102,comp.graphics
1103,comp.graphics
1104,comp.graphics
1105,comp.graphics
1106,comp.graphics
1107,comp.graphics
1108,comp.graphics
1109,comp.graphics
1110,comp.graphics
1111,comp.graphics
1112,comp.graphics
1113,comp.graphics
1114,comp.graphics
1115,comp.graphics
1116,comp.graphics
1117,comp.graphics
1118,comp.graphics
1119,comp.graphics
1120,comp.graphics
1121,comp.graphics
1122,comp.graphics
1123,comp.graphics
1124,comp.graphics
1125,comp.graphics
1126,comp.graphics
1127,comp.graphics
1128,comp.graphics
1129,comp.graphics
1130,comp.graphics
1131,comp.graphics
1132,comp.graphics
1133,comp.graphics
1134,comp.graphics
1135,comp.graphics
1136,comp.graphics
1137,comp.graphics
1138,comp.graphics
1139,comp.graphics
1140,comp.graphics
1141,comp.graphics
1142,comp.graphics
1143,comp.graphics
1144,comp.graphics
1145,comp.graphics
1146,comp.graphics
1147,comp.graphics
1148,comp.graphics
1149,comp.graphics
1150,comp.graphics
1151,comp.graphics
1152,comp.graphics
1153,comp.graphics
1154,comp.graphics
1155,comp.graphics
1156,comp.graphics
1157,comp.graphics
1158,comp.graphics
1159,comp.graphics
1160,comp.graphics
1161,comp.graphics
1162,comp.graphics
1163,comp.graphics
1164,comp.graphics
1165,comp.graphics
1166,comp.graphics
1167,comp.graphics
1168,comp.graphics
1169,comp.graphics
1170,comp.graphics
1171,comp.graphics
1172,comp.graphics
1173,comp.graphics
1174,comp.graphics
1175,comp.graphics
1176,comp.graphics
1177,comp.graphics
1178,comp.graphics
1179,comp.graphics
1180,comp.graphics
1181,comp.graphics
1182,comp.graphics
1183,comp.graphics
1184,comp.graphics
1185,comp.graphics
1186,comp.graphics
1187,comp.graphics
1188,comp.graphics
1189,comp.graphics
1190,comp.graphics
1191,comp.graphics
1192,comp.graphics
1193,comp.graphics
1194,comp.graphics
1195,comp.graphics
1196,comp.graphics
1197,comp.graphics
1198,comp.graphics
1199,comp.graphics
1200,comp.graphics
1201,comp.graphics
1202,comp.graphics
1203,comp.graphics
1204,comp.graphics
1205,comp.graphics
1206,comp.graphics
1207,comp.graphics
1208,comp.graphics
1209,comp.graphics
1210,comp.graphics
1211,comp.graphics
1212,comp.graphics
1213,comp.graphics
1214,comp.graphics
1215,comp.graphics
1216,comp.graphics
1217,comp.graphics
1218,comp.graphics
1219,comp.graphics
1220,comp.graphics
1221,comp.graphics
1222,comp.graphics
1223,comp.graphics
1224,comp.graphics
1225,comp.graphics
1226,comp.graphics
1227,comp.graphics
1228,comp.graphics
1229,comp.graphics
1230,comp.graphics
1231,comp.graphics
1232,comp.graphics
1233,comp.graphics
1234,comp.graphics
1235,comp.graphics
1236,comp.graphics
1237,comp.graphics
1238,comp.graphics
1239,comp.graphics
1240,comp.graphics
1241,comp.graphics
1242,comp.graphics
1243,comp.graphics
1244,comp.graphics
1245,comp.graphics
1246,comp.graphics
1247,comp.graphics
1248,comp.graphics
1249,comp.graphics
1250,comp.graphics
1251,comp.graphics
1252,comp.graphics
1253,comp.graphics
1254,comp.graphics
1255,comp.graphics
1256,comp.graphics
1257,comp.graphics
1258,comp.graphics
1259,comp.graphics
1260,comp.graphics
1261,comp.graphics
1262,comp.graphics
1263,comp.graphics
1264,comp.graphics
1265,comp.graphics
1266,comp.graphics
1267,comp.graphics
1268,comp.graphics
1269,comp.graphics
1270,comp.graphics
1271,comp.graphics
1272,comp.graphics
1273,comp.graphics
1274,comp.graphics
1275,comp.graphics
1276,comp.graphics
1277,comp.graphics
1278,comp.graphics
1279,comp.graphics
1280,comp.graphics
1281,comp.graphics
1282,comp.graphics
1283,comp.graphics
1284,comp.graphics
1285,comp.graphics
1286,comp.graphics
1287,comp.graphics
1288,comp.graphics
1289,comp.graphics
1290,comp.graphics
1291,comp.graphics
1292,comp.graphics
1293,comp.graphics
1294,comp.graphics
1295,comp.graphics
1296,comp.graphics
1297,comp.graphics
1298,comp.graphics
1299,comp.graphics
1300,comp.graphics
1301,comp.graphics
1302,comp.graphics
1303,comp.graphics
1304,comp.graphics
1305,comp.graphics
1306,comp.graphics
1307,comp.graphics
1308,comp.graphics
1309,comp.graphics
1310,comp.graphics
1311,comp.graphics
1312,comp.graphics
1313,comp.graphics
1314,comp.graphics
1315,comp.graphics
1316,comp.graphics
1317,comp.graphics
1318,comp.graphics
1319,comp.graphics
1320,comp.graphics
1321,comp.graphics
1322,comp.graphics
1323,comp.graphics
1324,comp.graphics
1325,comp.graphics
1326,comp.graphics
1327,comp.graphics
1328,comp.graphics
1329,comp.graphics
1330,comp.graphics
1331,comp.graphics
1332,comp.graphics
1333,comp.graphics
1334,comp.graphics
1335,comp.graphics
1336,comp.graphics
1337,comp.graphics
1338,comp.graphics
1339,comp.graphics
1340,comp.graphics
1341,comp.graphics
1342,comp.graphics
1343,comp.graphics
1344,comp.graphics
1345,comp.graphics
1346,comp.graphics
1347,comp.graphics
1348,comp.graphics
1349,comp.graphics
1350,comp.graphics
1351,comp.graphics
1352,comp.graphics
1353,comp.graphics
1354,comp.graphics
1355,comp.graphics
1356,comp.graphics
1357,comp.graphics
1358,comp.graphics
1359,comp.graphics
1360,comp.graphics
1361,comp.graphics
1362,comp.graphics
1363,comp.graphics
1364,comp.graphics
1365,comp.graphics
1366,comp.graphics
1367,comp.graphics
1368,comp.graphics
1369,comp.graphics
1370,comp.graphics
1371,comp.graphics
1372,comp.graphics
1373,comp.graphics
1374,comp.graphics
1375,comp.graphics
1376,comp.graphics
1377,comp.graphics
1378,comp.graphics
1379,comp.graphics
1380,comp.graphics
1381,comp.graphics
1382,comp.graphics
1383,comp.graphics
1384,comp.graphics
1385,comp.graphics
1386,comp.graphics
1387,comp.graphics
1388,comp.graphics
1389,comp.graphics
1390,comp.graphics
1391,comp.graphics
1392,comp.graphics
1393,comp.graphics
1394,comp.graphics
1395,comp.graphics
1396,comp.graphics
1397,comp.graphics
1398,comp.graphics
1399,comp.graphics
1400,comp.os.ms-windows.misc
1401,comp.os.ms-windows.misc
1402,comp.os.ms-windows.misc
1403,comp.os.ms-windows.misc
1404,comp.os.ms-windows.misc
1405,comp.os.ms-windows.misc
1406,comp.os.ms-windows.misc
1407,comp.os.ms-windows.misc
1408,comp.os.ms-windows.misc
1409,comp.os.ms-windows.misc
1410,comp.os.ms-windows.misc
1411,comp.os.ms-windows.misc
1412,comp.os.ms-windows.misc
1413,comp.os.ms-windows.misc
1414,comp.os.ms-windows.misc
1415,comp.os.ms-windows.misc
1416,comp.os.ms-windows.misc
1417,comp.os.ms-windows.misc
1418,comp.os.ms-windows.misc
1419,comp.os.ms-windows.misc
1420,comp.os.ms-windows.misc
1421,comp.os.ms-windows.misc
1422,comp.os.ms-windows.misc
1423,comp.os.ms-windows.misc
1424,comp.os.ms-windows.misc
1425,comp.os.ms-windows.misc
1426,comp.os.ms-windows.misc
1427,comp.os.ms-windows.misc
1428,comp.os.ms-windows.misc
1429,comp.os.ms-windows.misc
1430,comp.os.ms-windows.misc
1431,comp.os.ms-windows.misc
1432,comp.os.ms-windows.misc
1433,comp.os.ms-windows.misc
1434,comp.os.ms-windows.misc
1435,comp.os.ms-windows.misc
1436,comp.os.ms-windows.misc
1437,comp.os.ms-windows.misc
1438,comp.os.ms-windows.misc
1439,comp.os.ms-windows.misc
1440,comp.os.ms-windows.misc
1441,comp.os.ms-windows.misc
1442,comp.os.ms-windows.misc
1443,comp.os.ms-windows.misc
1444,comp.os.ms-windows.misc
1445,comp.os.ms-windows.misc
1446,comp.os.ms-windows.misc
1447,comp.os.ms-windows.misc
1448,comp.os.ms-windows.misc
1449,comp.os.ms-windows.misc
1450,comp.os.ms-windows.misc
1451,comp.os.ms-windows.misc
1452,comp.os.ms-windows.misc
1453,comp.os.ms-windows.misc
1454,comp.os.ms-windows.misc
1455,comp.os.ms-windows.misc
1456,comp.os.ms-windows.misc
1457,comp.os.ms-windows.misc
